food_code,name_jp,name_norm,kcal,protein_g,fat_g,carb_g,fiber_g,sugar_g,sodium_mg,salt_g,vitaminA,vitaminD,vitaminE,vitaminK,vitaminB1,vitaminB2,niacin,vitaminB6,vitaminB12,folate,vitaminC,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,group_name,source
01001,アマランサス　玄穀,アマランサス 玄穀,343.0,12.7,6.0,64.9,7.4,63.5,1.0,0.0,0.0,0.0,1.3,0.0,0.04,0.14,1.0,0.58,0.0,130.0,0.0,600.0,160.0,270.0,540.0,9.4,5.8,0.92,穀類,日本食品標準成分表（八訂）増補2023年から引用
01002,あわ　精白粒,あわ 精白粒,346.0,11.2,4.4,69.7,3.3,69.6,1.0,0.0,0.0,0.0,0.6,0.0,0.56,0.07,2.9,0.18,0.0,29.0,0.0,300.0,14.0,110.0,280.0,4.8,2.5,0.49,穀類,日本食品標準成分表（八訂）増補2023年から引用
01003,あわ　あわもち,あわ あわもち,210.0,5.1,1.3,45.3,1.5,44.5,0.0,0.0,0.0,0.0,0.1,0.0,0.08,0.01,0.3,0.03,0.0,7.0,0.0,62.0,5.0,12.0,39.0,0.7,1.1,0.2,穀類,日本食品標準成分表（八訂）増補2023年から引用
01004,えんばく　オートミール,えんばく オートミール,350.0,13.7,5.7,69.1,9.4,63.1,3.0,0.0,0.0,0.0,0.6,0.0,0.2,0.08,1.1,0.11,0.0,30.0,0.0,260.0,47.0,100.0,370.0,3.9,2.1,0.28,穀類,日本食品標準成分表（八訂）増補2023年から引用
01005,おおむぎ　七分つき押麦,おおむぎ 七分つき押麦,343.0,10.9,2.1,72.1,10.3,71.3,2.0,0.0,0.0,0.0,0.2,0.0,0.22,0.07,3.2,0.14,0.0,17.0,0.0,220.0,23.0,46.0,180.0,1.3,1.4,0.32,穀類,日本食品標準成分表（八訂）増補2023年から引用
01006,おおむぎ　押麦　乾,おおむぎ 押麦 乾,329.0,6.7,1.5,78.3,12.2,72.4,2.0,0.0,0.0,0.0,0.1,0.0,0.11,0.03,3.4,0.13,0.0,10.0,0.0,210.0,21.0,40.0,160.0,1.1,1.1,0.22,穀類,日本食品標準成分表（八訂）増補2023年から引用
01170,おおむぎ　押麦　めし,おおむぎ 押麦 めし,118.0,2.2,0.5,28.5,4.2,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.8,0.03,0.0,3.0,0.0,38.0,6.0,10.0,46.0,0.4,0.4,0.08,穀類,日本食品標準成分表（八訂）増補2023年から引用
01007,おおむぎ　米粒麦,おおむぎ 米粒麦,333.0,7.0,2.1,76.2,8.7,68.8,2.0,0.0,0.0,0.0,0.1,0.0,0.19,0.05,2.3,0.19,0.0,10.0,0.0,170.0,17.0,25.0,140.0,1.2,1.2,0.37,穀類,日本食品標準成分表（八訂）増補2023年から引用
01008,おおむぎ　大麦めん　乾,おおむぎ 大麦めん 乾,343.0,12.9,1.7,68.0,6.3,72.2,1100.0,2.8,0.0,0.0,0.0,0.0,0.21,0.04,3.5,0.09,0.0,19.0,0.0,240.0,27.0,63.0,200.0,2.1,1.5,0.33,穀類,日本食品標準成分表（八訂）増補2023年から引用
01009,おおむぎ　大麦めん　ゆで,おおむぎ 大麦めん ゆで,121.0,4.8,0.6,24.3,2.5,25.2,64.0,0.2,0.0,0.0,0.0,0.0,0.04,0.01,1.0,0.01,0.0,5.0,0.0,10.0,12.0,18.0,61.0,0.9,0.6,0.13,穀類,日本食品標準成分表（八訂）増補2023年から引用
